ID,title,authors,year,publisher,subject
893,"Chekhov, the Major Plays",Anton Pavlovich Chekhov,2006,A. Mondadori,Drama
4098,Stories,Anton Pavlovich Chekhov,2000,Tor Science Fiction,Fiction
4661,The Complete Plays,Anton Pavlovich Chekhov,2006,Scholastic Library Pub,Drama
4667,The Complete Short Novels,Anton Pavlovich Chekhov,2005,Carroll &amp; Graf Publishers,Fiction
6554,Ward No. 6 and Other Stories,Anton Pavlovich Chekhov,2003,Groundwood Books,Fiction
894,Chekhov's Doctors,Anton Pavlovich Chekhov;Jack Coulehan;John L. Coulehan,2003,Riverhead Books,Literary Collections
441,Anton Chekhov's Short Stories,Anton Pavlovich Chekhov;Ralph E. Matlaw,1979,Harper Mass Market Paperbacks (Mm),Fiction
2798,Marie Antoinette,Antonia Fraser,2001,Little Brown &amp; Co,Biography & Autobiography
5026,The Gramsci Reader,Antonio Gramsci,2000,Galleria Gottardo,Philosophy
4895,"The Fall of Berlin, 1945",Antony Beevor,2003,Signet Book,History
6562,Wasteland Vol. 1,Antony Johnston,2010,Delta,Comics & Graphic Novels
6159,The Winthrop Woman,Anya Seton,2006,Betty Crocker,Fiction
1251,Design Like You Give a Damn,Architecture for Humanity (Organization),2006,Anchor,Architecture
1618,Female Chauvinist Pigs,Ariel Levy,2006,Star Trek,Social Science
2100,Hot Chocolate for the Mystical Lover,Arielle Ford,2001,A. Mondadori,"Body, Mind & Spirit"
2263,Inattentional Blindness,Arien Mack;Irvin Rock,2000,G. P. Putnam's Sons,Psychology
455,Aristophanes 1,Aristophanes,1998,Little Brown &amp; Co,Drama
991,Clouds,Aristophanes,1970,Penguin Books,Drama
1724,Four Plays,Aristophanes,1984,Yearling Books,Drama
4662,The Complete Plays of Aristophanes,Aristophanes,1981,Dell Publishing Company,Drama
6122,The Wasps,Aristophanes,1964,Signet Book,Drama
2736,Lysistrata and Other Plays,Aristophanes;Alan H. Sommerstein,2002,Firebrand Books,Drama
4437,The Birds and Other Plays,Aristophanes;David Barrett;Alan H. Sommerstein,1978,Bantam Books,Drama
1719,Four Comedies,Aristophanes;Dudley Fitts,2002,Harry N Abrams,Drama
456,Aristophanes' Acharnians,Aristophanes;Jeffrey Henderson,2003,Warner Books,Drama
488,Assemblywomen,Aristophanes;Jeffrey Henderson,1996,Fireside,Drama
2734,Lysistrata,Aristophanes;Jeffrey Henderson,1990,Vintage Books USA,Literary Criticism
454,Aristophanes 1,Aristophanes;Peter Meineck,1998,Little Brown &amp; Co,Drama
457,Aristophanes' Peace,Aristophanes;S. Douglas Olson,1998,Faber &amp; Faber,Drama
2735,Lysistrata,Aristophanes;Sarah Ruden,2003,Bantam,Literary Criticism
4436,The birds,Aristophanes;Sean O'Brien,2003,Dell Publishing Company,Drama
4682,The complete works of Aristotle,Aristoteles,1985,Warner Books,"Philosophy, Ancient"
459,Aristotle: The Politics and the Constitution of Athens,Aristotle,1996,Laure Leaf,History
4328,The Aristotle's Ethics,Aristotle,2003,Warner Books Inc,Study Aids
4384,The Basic Works of Aristotle,Aristotle,2001,Dell Publishing Company,Philosophy
4683,The Complete Works of Aristotle,Aristotle,1984,Random House Inc,Philosophy
5489,The Nicomachean Ethics,Aristotle,2004,Crimeline,Philosophy
3442,Politics,Aristotle;Benjamin Jowett;H. W. C. Davis,2000,G. P. Putnam's Sons,Political Science
460,Aristotle's Nicomachean Ethics,Aristotle;Hippocrates George Apostle,1984,A. Mondadori,Philosophy
3435,Poetics,Aristotle;Malcolm Heath,1996,Faber Children's Books,Literary Criticism
